Date	itemlink	string	globecoordinate	time	quantity	somevalue	novalue
2013-02-04	0	0	0	0	0	0	0
2013-02-15	0	1	0	0	0	0	0
2013-02-28	266706	5	0	0	0	0	0
2013-03-16	498295	45	0	0	0	1	0
2013-03-30	910180	350	0	0	0	0	1
2013-04-17	2206663	224280	0	0	0	0	1
2013-05-05	3404410	762478	0	0	0	2	1
2013-05-14	4494433	1352800	0	0	0	5	15
2013-05-27	5678275	1837146	0	0	0	7	19
2013-06-10	6192821	1878821	0	43489	0	9	23
2013-06-23	6319122	1900204	161906	76024	0	9	23
2013-07-10	7053858	1999194	228913	76075	0	9	831
2013-07-27	8145163	2264958	270095	76261	0	11	789
2013-08-05	8436783	2301402	525438	76609	0	11	813
2013-08-17	8442518	2309637	532464	76719	0	11	813
2013-08-27	8653012	2324773	584056	79699	0	11	806
2013-09-10	8848540	2329636	650367	102570	0	11	805
2013-09-22	9263434	2357835	702809	179938	0	11	804
2013-10-06	9712536	2359167	818518	210886	0	12	788
2013-10-21	10398888	2513846	862177	399060	0	13	459
2013-11-05	10375016	2572008	905628	504745	0	13	64
2013-11-20	10464005	2610998	973763	523038	0	15	67
2013-12-05	10302879	2601515	1096758	523697	0	15	73
2013-12-21	10470046	2625775	1096806	523788	0	16	74
2014-01-06	10735442	2775790	1096754	523897	0	16	93
2014-01-23	10841752	2877770	1096855	523850	0	27	111
2014-02-10	11261294	2977220	1097276	730317	0	50	116
2014-02-26	11575003	2975946	1097549	820433	550	70	125
2014-03-15	12145339	2971631	1099347	1007614	8684	67	160
2014-03-31	12336967	3017614	1100792	1099600	8934	108	260
2014-04-20	12477753	3073378	1182921	1111157	11405	127	270
2014-05-08	12154230	3172815	1197802	1088430	22785	128	281
2014-05-26	11754126	3210209	1276666	1106089	24318	129	280
2014-06-12	11676637	3225509	1340146	1176596	24593	132	283
2014-07-05	11611010	3261655	1378220	1208359	26166	132	283
2014-07-31	11708081	3306736	1492073	1486159	25264	140	282
2014-08-04	11701402	3307648	1492050	1487875	25265	416	282
2014-08-23	11656092	3398192	1493934	1507755	25666	448	286
2014-09-15	11654821	3428436	1522498	1575913	38286	1761	284
2014-09-29	11653560	3430803	1522507	1607896	85270	2164	287
2014-10-13	11735384	3448581	1522694	1608712	113109	2184	287
2014-10-27	11721698	3458241	1553442	1643017	113134	2214	286
2014-11-10	11837720	3452987	1561362	1646364	113163	2252	290
2014-11-24	11928936	3459301	1561170	1653518	113279	2405	304
2014-12-10	11831577	3526478	1561858	1655317	113375	3426	305
2014-12-22	11850269	3527083	1627873	1657368	113525	3557	310
2015-01-05	11833431	3539039	1627676	1657842	113581	3729	309
2015-01-20	11951376	3563052	1656842	1673090	113718	3765	997
2015-02-02	11789732	3318680	1650560	1688505	113816	3779	999
2015-02-16	11864235	3343750	1650434	1698997	113974	3787	997
2015-03-02	11907902	3359360	1653138	1699565	114068	3803	1003
2015-03-16	11953228	3388600	1666503	1709341	114462	3805	1024
2015-03-30	12170050	3505491	1666442	1718661	114473	3804	1028
2015-04-13	12455493	3524952	1666255	1721054	114606	3815	1039
2015-04-27	12474988	3572215	1666388	1728410	114665	3825	1039
2015-05-11	12547693	3600135	1667237	1730425	114862	3835	1041
2015-05-25	12580009	3625735	1667165	1734143	114940	3831	1040
2015-06-08	12623151	3649913	1668464	1735377	115188	3832	1047
2015-06-22	12668183	3674909	1667131	1748848	118143	3842	1052
2015-07-06	12818283	3737427	1679127	1769288	126216	3848	1053
2015-07-20	12827315	3764337	1710489	1789183	126420	3852	1055
2015-08-05	12844778	3789948	1711842	1794613	126605	3879	1059
2015-08-17	12920326	3825050	1711694	1799126	126698	3904	1060
2015-09-07	13124126	4043901	1849386	1825882	128674	3908	1059
