Date	Total Items
2013-02-04	3887755
2013-02-15	4423079
2013-02-28	5825626
2013-03-16	7040595
2013-03-30	8534183
2013-04-17	10621495
2013-05-05	12022530
2013-05-14	12402098
2013-05-27	12565377
2013-06-10	12562722
2013-06-23	12639014
2013-07-10	12783651
2013-07-27	13355707
2013-08-05	13566707
2013-08-17	13608804
2013-08-27	13685369
2013-09-10	13833267
2013-09-22	13889820
2013-10-06	13989956
2013-10-21	14010471
2013-11-05	14042236
2013-11-20	14082962
2013-12-05	14132136
2013-12-21	14240430
2014-01-06	14404065
2014-01-23	14371860
2014-02-10	14440962
2014-02-26	14519234
2014-03-15	14616935
2014-03-31	14648218
2014-04-20	15093996
2014-05-08	15331176
2014-05-26	15429932
2014-06-12	15590480
2014-07-05	15685743
2014-07-31	15789885
2014-08-04	15792256
2014-08-23	15856289
2014-09-15	16199115
2014-09-29	16266835
2014-10-13	16320152
2014-10-27	16421663
2014-11-10	16572031
2014-11-24	16606415
2014-12-10	16628776
2014-12-22	16668610
2015-01-05	16675727
2015-01-20	16770028
2015-02-02	16864651
2015-02-16	17198893
2015-03-02	17271174
2015-03-16	17474239
2015-03-30	17553149
2015-04-13	17622509
2015-04-27	17632496
2015-05-11	17679971
2015-05-25	17679766
2015-06-08	17752335
2015-06-22	17880164
2015-07-06	18308081
2015-07-20	18336598
2015-08-05	18378250
2015-08-17	18434725
2015-09-07	18514196
