Date	unknown	time	globecoordinate	string	itemlink
2013-02-04	0	0	0	0	0
2013-02-15	0	0	0	1	42
2013-02-28	0	0	0	1	266764
2013-03-16	0	0	0	2	498437
2013-03-30	0	0	0	76	910765
2013-04-17	0	0	0	121	2611552
2013-05-05	1	0	0	216	4473598
2013-05-14	2	0	0	227	6414090
2013-05-27	2	0	0	271	8326254
2013-06-10	2	36	0	10196	9187049
2013-06-23	2	10973	0	23857	9855345
2013-07-10	2	45370	0	27780	11006815
2013-07-27	4	78515	1	54909	12453702
2013-08-05	4	111270	1	55504	13156590
2013-08-17	4	117011	1	68152	13212012
2013-08-27	8	123144	1	70670	13517950
2013-09-10	19	123497	1	72626	13882171
2013-09-22	20	129293	1	74233	14540044
2013-10-06	20	255204	1	76906	15240232
2013-10-21	20	275036	1	82294	16340714
2013-11-05	20	284511	1	156833	16724860
2013-11-20	20	330263	1	159218	16986810
2013-12-05	20	421953	1	161514	17016344
2013-12-21	20	1026730	2	162684	17815515
2014-01-06	20	1190743	2	176412	18405198
2014-01-23	21	1660303	2	207534	19139807
2014-02-10	21	1721626	2	216187	20063621
2014-02-26	24	2127801	2	243634	20964778
2014-03-15	24	2549025	2	286646	21985786
2014-03-31	25	2865256	2	288855	22548007
2014-04-20	26	3367751	2	300289	23254935
2014-05-08	28	3901322	2	304148	23466412
2014-05-26	27	3993799	2	318801	23306659
2014-06-12	27	3994019	2	326069	23373660
2014-07-05	27	4067330	2	336669	23496743
2014-07-31	27	4185607	2	388941	24109242
2014-08-04	27	4185646	2	388977	24106582
2014-08-23	29	4186681	2	411957	24324841
2014-09-15	28	4206637	2	466499	24722171
2014-09-29	29	4253876	2	530359	25083284
2014-10-13	30	4285333	2	561599	25280001
2014-10-27	31	4286090	2	562241	25854126
2014-11-10	31	5127869	2	563887	26622140
2014-11-24	33	5281424	2	585759	26775044
2014-12-10	33	5465383	2	626761	26885803
2014-12-22	34	5741943	2	642868	27282679
2015-01-05	35	5920681	2	772375	27518296
2015-01-20	35	5912869	4	779577	28044034
2015-02-02	35	5921270	4	782326	27773096
2015-02-16	36	6082178	4	787453	28198507
2015-03-02	35	6208823	4	793290	28434799
2015-03-16	35	6431008	4	886268	28831307
2015-03-30	36	6514474	5	889642	29254633
2015-04-13	38	6569672	6	896955	29647837
2015-04-27	39	6586328	6	901243	29756633
2015-05-11	38	6884820	7	927009	30136250
2015-05-25	43	8045796	9	961888	31312388
2015-06-08	43	8583663	8	965348	31938274
2015-06-22	47	8747043	9	1038874	32089000
2015-07-06	49	9235841	13	1184253	32561149
2015-07-20	49	9810852	14	1187294	33298971
2015-08-05	48	10009719	14	1201421	33699178
2015-08-17	51	10621955	14	1368343	34598888
2015-09-07	54	11649973	17	1405106	36470739
2015-10-05	53	11858325	19	1452600	36903271
2015-10-19	53	13302534	18	2468541	38991298
