Date	Total Items	Total statements	Items with referenced statements	Statements referenced to Wikipedia	Statements referenced to other sources
2013-02-04	3887755	0	0	0	0
2013-02-15	4423079	30746	20	1	32
2013-02-28	5825626	623199	133740	266711	46
2013-03-16	7040595	1413624	256473	498341	63
2013-03-30	8534183	2186888	543268	910531	129
2013-04-17	10621495	4313448	1292844	2430944	134940
2013-05-05	12022530	7198164	2095436	4166891	248072
2013-05-14	12402098	9345038	2666462	5847253	371799
2013-05-27	12565377	11270039	3041132	7515447	531292
2013-06-10	12562722	12198457	3310404	8115163	754012
2013-06-23	12639014	12891847	3404972	8457288	1042617
2013-07-10	12783651	14107218	3718996	9358880	1202250
2013-07-27	13355707	16772031	3997196	10757277	1250229
2013-08-05	13566707	18097445	4109773	11341056	1342876
2013-08-17	13608804	18361760	4118443	11362162	1369620
2013-08-27	13685369	18776598	4182108	11642357	1390763
2013-09-10	13833267	19611955	4252261	11931929	1459596
2013-09-22	13889820	20540880	4386420	12504831	1542214
2013-10-06	13989956	21501293	4544929	13101907	1617120
2013-10-21	14010471	22743278	5046555	14174443	1649627
2013-11-05	14042236	23643387	5294567	14357474	1850602
2013-11-20	14082962	24273181	5619251	14571886	1880707
2013-12-05	14132136	24708934	5900483	14524937	1936568
2013-12-21	14240430	26226643	6122577	14716505	2532346
2014-01-06	14404065	27177885	6377344	15131992	2702030
2014-01-23	14371860	28450680	6552436	15340365	3224338
2014-02-10	14440962	29863202	6769918	16066273	3414790
2014-02-26	14519234	31192731	7016074	16469676	3871177
2014-03-15	14616935	32677300	7192145	17232842	4067536
2014-03-31	14648218	33378586	7282613	17564275	4270933
2014-04-20	15093996	34282661	7393496	17857011	4612258
2014-05-08	15331176	35276958	7556928	17636471	4942902
2014-05-26	15429932	36639561	7517474	17371817	5031579
2014-06-12	15590480	38815796	7552967	17443896	5031854
2014-07-05	15685743	40087646	7591207	17485825	5112298
2014-07-31	15789885	42975531	7840701	18018735	5228374
2014-08-04	15792256	43189152	7841226	18014938	5228637
2014-08-23	15856289	44487645	7864281	18082373	5389203
2014-09-15	16199115	46010798	7954774	18221999	5682504
2014-09-29	16266835	47371813	7978907	18302487	6004751
2014-10-13	16320152	48243540	8030636	18430951	6099023
2014-10-27	16421663	49259487	8139082	18492032	6592815
2014-11-10	16572031	50457200	8188516	18614138	7466240
2014-11-24	16606415	51406935	8222906	18718913	7567577
2014-12-10	16628776	52309846	8338307	18692336	7733296
2014-12-22	16668610	53020002	8423002	18779985	8010042
2015-01-05	16675727	53662317	8436319	18775607	8207035
2015-01-20	16770028	54404160	8579898	18962840	8283791
2015-02-02	16864651	54920968	8452476	18566071	8285903
2015-02-16	17198893	56392395	8607467	18676174	8578385
2015-03-02	17271174	57338578	8664297	18738839	8757613
2015-03-16	17474239	58526745	8790148	18836963	9070547
2015-03-30	17553149	59453989	8909211	19179949	9148464
2015-04-13	17622509	60570873	9021646	19487214	9210972
2015-04-27	17632496	61427934	9058475	19561530	9230665
2015-05-11	17679971	61831277	9082615	19665228	9522410
2015-05-25	17679766	63245085	9605502	19726863	10657741
2015-06-08	17752335	64275222	9882420	19796972	11213027
2015-06-22	17880164	64964157	9916537	19882108	11333403
2015-07-06	18308081	65993797	10017235	20135242	11677032
2015-07-20	18336598	66964741	10063621	20222651	12295743
2015-08-05	18378250	67730906	10122499	20272724	12632198
2015-08-17	18434725	68612395	10199595	20387858	13228312
2015-09-07	18514196	70380747	10436117	20976936	13831072
2015-10-05	18599963	71568107	10576785	21296464	13964311
2015-10-19	18664465	73315822	10668936	21350233	15301199
