Date	preferred	normal	deprecated
2013-02-04	0	0	0
2013-02-15	0	0	0
2013-02-28	0	0	0
2013-03-16	0	0	0
2013-03-30	0	0	0
2013-04-17	0	0	0
2013-05-05	0	0	0
2013-05-14	0	0	0
2013-05-27	0	0	0
2013-06-10	0	0	0
2013-06-23	0	0	0
2013-07-10	0	0	0
2013-07-27	0	0	0
2013-08-05	0	0	0
2013-08-17	0	0	0
2013-08-27	0	0	0
2013-09-10	0	0	0
2013-09-22	0	0	0
2013-10-06	0	0	0
2013-10-21	0	0	0
2013-11-05	0	0	0
2013-11-20	0	0	0
2013-12-05	0	0	0
2013-12-21	0	0	0
2014-01-06	194	27177566	125
2014-01-23	278	28450238	164
2014-02-10	377	29862618	207
2014-02-26	546	31191963	222
2014-03-15	8750	32668247	303
2014-03-31	9422	33368820	344
2014-04-20	9670	34272634	357
2014-05-08	9865	35266686	407
2014-05-26	9944	36629116	501
2014-06-12	10021	38802915	2860
2014-07-05	10217	40071824	5605
2014-07-31	10502	42955614	9415
2014-08-04	10572	43168381	10199
2014-08-23	19468	44457449	10728
2014-09-15	23106	45976649	11043
2014-09-29	23239	47337437	11137
2014-10-13	23307	48209086	11147
2014-10-27	23334	49224993	11160
2014-11-10	23390	50422645	11165
2014-11-24	23495	51372222	11218
2014-12-10	23633	52274953	11260
2014-12-22	23760	52984966	11276
2015-01-05	23910	53627119	11288
2015-01-20	24040	54368800	11320
2015-02-02	24076	54884447	12445
2015-02-16	24225	56351985	16185
2015-03-02	24404	57298925	15249
2015-03-16	24595	58485913	16237
2015-03-30	24753	59412938	16298
2015-04-13	24872	60529688	16313
2015-04-27	25074	61386526	16334
2015-05-11	25282	61789630	16365
2015-05-25	25690	63202987	16408
2015-06-08	26749	64232030	16443
2015-06-22	37430	64910173	16554
2015-07-06	40770	65936373	16654
2015-07-20	41738	66906253	16750
2015-08-05	42227	67671739	16940
2015-08-17	42647	68552723	17025
2015-09-07	43141	70320487	17119
2015-10-05	43973	71506854	17280
2015-10-19	44726	73256037	15059
