date	active users
2012-03-06	0
2012-03-16	0
2012-04-04	0
2012-05-02	0
2012-06-01	0
2012-07-01	0
2012-07-19	0
2012-08-01	0
2012-09-03	0
2012-10-01	0
2012-11-01	389
2012-12-01	892
2013-01-01	532
2013-01-15	515
2013-02-01	754
2013-02-14	1012
2013-03-01	2633
2013-03-28	6189
2013-04-01	6545
2013-04-25	7067
2013-05-04	7840
2013-05-29	9263
2013-06-27	9572
2013-08-15	9193
2013-09-03	9130
2013-10-01	8928
2013-11-02	8928
2013-12-01	10039
2014-01-01	11625
2014-01-29	12725
2014-03-09	12901
2014-04-09	12631
2014-05-01	12915
2014-06-23	13192
2014-09-25	12802
2014-12-23	13344
2015-01-09	14013
2015-03-03	15201
2015-04-01	15188
2015-05-04	15137
2015-06-11	15074
2015-07-12	15395
2015-08-14	15321
