date	mailing list subscribers -l	mailing list subscribers -tech	mailing list messages -l	mailing list messages -tech	newsletter subscribers
2012-03-06	67	0	1	0	0
2012-03-16	117	0		0	0
2012-04-01	343	0	212	0	0
2012-05-01	425	0	355	0	0
2012-06-01	454	0	144	0	0
2012-07-01	459	0	199	0	0
2012-07-19	490	0	54	0	0
2012-08-01	494	0	72	0	0
2012-09-03	502	0	124	0	52
2012-10-01	514	0	97	0	66
2012-11-01	540	0	92	0	84
2012-12-01	590	0	150	0	103
2013-01-01	590	0	197	0	121
2013-01-15	599	0	69	0	130
2013-02-01	622	0	164	0	136
2013-02-14	642	0	58	0	144
2013-03-01	649	0	101	0	185
2013-03-28	689	0	172	0	229
2013-04-01	690	0	190	0	231
2013-04-25	706	0	184	0	256
2013-05-04	732	0	215	0	267
2013-05-29	749	60	103	12	264
2013-06-27	754	67	130	56	264
2013-08-15	760	75	129	84	257
2013-09-03	761	75	215	81	258
2013-10-01	767	81	135	64	256
2013-11-02	786	90	141	11	254
2013-12-01	797	99	139	14	256
2014-01-01	810	102	70	24	260
2014-01-29	820	107	80	23	261
2014-03-09	841	113	93	51	261
2014-04-09	835	115	181	10	264
2014-05-01	839	119	125	9	267
2014-06-23	854	131	167	12	266
2014-09-25	903	148	244	27	265
2014-12-23	940	163	96	18	272
2015-01-09	954	163	139	18	273
2015-03-03	975	175	150	10	270
2015-04-01	989	184	214	40	269
2015-05-04	1001	192	299	4	274
2015-06-11	986	198	271	7	275
2015-07-12	988	199	287	9	276
2015-08-14	988	203	219	7	284
