date	properties
2012-03-06	0
2012-03-16	0
2012-04-04	0
2012-05-02	0
2012-06-01	0
2012-07-01	0
2012-07-19	0
2012-08-01	0
2012-09-03	0
2012-10-01	0
2012-11-01	0
2012-12-01	0
2013-01-01	0
2013-01-15	0
2013-02-01	0
2013-02-14	0
2013-03-01	127
2013-03-28	255
2013-04-01	261
2013-04-25	328
2013-05-04	345
2013-05-29	411
2013-06-27	486
2013-08-15	629
2013-09-03	656
2013-10-01	740
2013-11-02	793
2013-12-01	825
2014-01-01	840
2014-01-29	855
2014-03-09	962
2014-04-09	
2014-05-01	
2014-06-23	1122
2014-09-25	1196
2014-12-23	1191
2015-01-09	1188
2015-03-03	1188
2015-04-01	1188
2015-05-04	1186
2015-06-11	1186
2015-07-12	1186
2015-08-14	1210
